"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24093","TC-0014 | Verify that specific products are present in the cart","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:05 GMT 2025","","Cart Tests","CartTests","verifySpecificProductsInCart"
"","21532","TC-0003 | Verify locked-out user","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:02 GMT 2025","","Login Tests","LoginTests","verifyLockedOutUser"
"","21954","TC-0006 | Verify sorting options by Name (A to Z)","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:03 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameAToZ"
"","21945","TC-0004 | Verify sorting options by Price (low to high)","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:03 GMT 2025","","Inventory Tests","InventoryTests","verifySortingLowToHigh"
"","21546","TC-0001 | Verify login","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:02 GMT 2025","","Login Tests","LoginTests","verifyLogin"
"Retrieve a pet by its ID","89","TC-0011 | GET - Get Pet By ID","","Tue Mar 11 15:23:52 GMT 2025","passed","Tue Mar 11 15:23:53 GMT 2025","","Pet Store API Tests","PetStoreApiTest","getPetById"
"","21954","TC-0007 | Verify sorting options by Name (Z to A)","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:03 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameZToA"
"Create a pet and retrieve its ID","7555","TC-0009 | API -POST - Create Pet","","Tue Mar 11 15:23:44 GMT 2025","passed","Tue Mar 11 15:23:51 GMT 2025","","Pet Store API Tests","PetStoreApiTest","createPet"
"","22037","TC-0005 | Verify sorting options by Price (high to low)","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:03 GMT 2025","","Inventory Tests","InventoryTests","verifySortingHighToLow"
"Find all available pets","474","TC-0010 | GET - Find Available Pets","","Tue Mar 11 15:23:52 GMT 2025","passed","Tue Mar 11 15:23:52 GMT 2025","","Pet Store API Tests","PetStoreApiTest","findAvailablePets"
"Delete a pet by its ID","77","TC-0013 | DELETE - Remove Pet","","Tue Mar 11 15:23:53 GMT 2025","passed","Tue Mar 11 15:23:53 GMT 2025","","Pet Store API Tests","PetStoreApiTest","deletePet"
"","24457","TC-0008 | Verify checkout overview with three products","","Tue Mar 11 15:23:40 GMT 2025","passed","Tue Mar 11 15:24:05 GMT 2025","","Checkout Tests","CheckoutTests","verifyCheckoutOverview"
"Update the status of a pet","97","TcC-0012 |PUT - Update Pet Status","","Tue Mar 11 15:23:53 GMT 2025","passed","Tue Mar 11 15:23:53 GMT 2025","","Pet Store API Tests","PetStoreApiTest","updatePetStatus"
"","21528","TC-0002 | Verify invalid login","","Tue Mar 11 15:23:41 GMT 2025","passed","Tue Mar 11 15:24:02 GMT 2025","","Login Tests","LoginTests","verifyInvalidLogin"
