"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28370","TC-0001 | Verify login","","Tue Mar 11 15:56:55 GMT 2025","passed","Tue Mar 11 15:57:23 GMT 2025","","Login Tests","LoginTests","verifyLogin"
"","20980","TC-0008 | Verify checkout overview with three products","","Tue Mar 11 15:56:54 GMT 2025","passed","Tue Mar 11 15:57:15 GMT 2025","","Checkout Tests","CheckoutTests","verifyCheckoutOverview"
"","18175","TC-0006 | Verify sorting options by Name (A to Z)","","Tue Mar 11 15:56:54 GMT 2025","passed","Tue Mar 11 15:57:12 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameAToZ"
"Retrieve a pet by its ID","354","TC-0011 | GET - Get Pet By ID","","Tue Mar 11 15:57:13 GMT 2025","failed","Tue Mar 11 15:57:13 GMT 2025","","Pet Store API Tests","PetStoreApiTest","getPetById"
"","18622","TC-0007 | Verify sorting options by Name (Z to A)","","Tue Mar 11 15:56:54 GMT 2025","passed","Tue Mar 11 15:57:13 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameZToA"
"Update the status of a pet","355","TcC-0012 |PUT - Update Pet Status","","Tue Mar 11 15:57:13 GMT 2025","passed","Tue Mar 11 15:57:13 GMT 2025","","Pet Store API Tests","PetStoreApiTest","updatePetStatus"
"","17052","TC-0002 | Verify invalid login","","Tue Mar 11 15:56:55 GMT 2025","passed","Tue Mar 11 15:57:12 GMT 2025","","Login Tests","LoginTests","verifyInvalidLogin"
"Create a pet and retrieve its ID","12258","TC-0009 | API -POST - Create Pet","","Tue Mar 11 15:56:58 GMT 2025","passed","Tue Mar 11 15:57:10 GMT 2025","","Pet Store API Tests","PetStoreApiTest","createPet"
"","18694","TC-0005 | Verify sorting options by Price (high to low)","","Tue Mar 11 15:56:54 GMT 2025","passed","Tue Mar 11 15:57:13 GMT 2025","","Inventory Tests","InventoryTests","verifySortingHighToLow"
"","18557","TC-0004 | Verify sorting options by Price (low to high)","","Tue Mar 11 15:56:54 GMT 2025","passed","Tue Mar 11 15:57:13 GMT 2025","","Inventory Tests","InventoryTests","verifySortingLowToHigh"
"Delete a pet by its ID","137","TC-0013 | DELETE - Remove Pet","","Tue Mar 11 15:57:13 GMT 2025","failed","Tue Mar 11 15:57:13 GMT 2025","","Pet Store API Tests","PetStoreApiTest","deletePet"
"","17056","TC-0003 | Verify locked-out user","","Tue Mar 11 15:56:55 GMT 2025","passed","Tue Mar 11 15:57:12 GMT 2025","","Login Tests","LoginTests","verifyLockedOutUser"
"","20906","TC-0014 | Verify that specific products are present in the cart","","Tue Mar 11 15:56:55 GMT 2025","passed","Tue Mar 11 15:57:16 GMT 2025","","Cart Tests","CartTests","verifySpecificProductsInCart"
"Find all available pets","1866","TC-0010 | GET - Find Available Pets","","Tue Mar 11 15:57:11 GMT 2025","passed","Tue Mar 11 15:57:13 GMT 2025","","Pet Store API Tests","PetStoreApiTest","findAvailablePets"
