"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27754","TC-0004 | Verify sorting options by Price (low to high)","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:27 GMT 2025","","Inventory Tests","InventoryTests","verifySortingLowToHigh"
"","26873","TC-0002 | Verify invalid login","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:26 GMT 2025","","Login Tests","LoginTests","verifyInvalidLogin"
"Delete a pet by its ID","421","TC-0013 | DELETE - Remove Pet","","Tue Mar 11 15:22:09 GMT 2025","failed","Tue Mar 11 15:22:10 GMT 2025","","Pet Store API Tests","PetStoreApiTest","deletePet"
"","28048","TC-0005 | Verify sorting options by Price (high to low)","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:27 GMT 2025","","Inventory Tests","InventoryTests","verifySortingHighToLow"
"Find all available pets","1993","TC-0010 | GET - Find Available Pets","","Tue Mar 11 15:22:07 GMT 2025","passed","Tue Mar 11 15:22:09 GMT 2025","","Pet Store API Tests","PetStoreApiTest","findAvailablePets"
"","29896","TC-0014 | Verify that specific products are present in the cart","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:29 GMT 2025","","Cart Tests","CartTests","verifySpecificProductsInCart"
"","30408","TC-0008 | Verify checkout overview with three products","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:29 GMT 2025","","Checkout Tests","CheckoutTests","verifyCheckoutOverview"
"","27391","TC-0001 | Verify login","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:26 GMT 2025","","Login Tests","LoginTests","verifyLogin"
"Create a pet and retrieve its ID","4478","TC-0009 | API -POST - Create Pet","","Tue Mar 11 15:22:02 GMT 2025","passed","Tue Mar 11 15:22:06 GMT 2025","","Pet Store API Tests","PetStoreApiTest","createPet"
"Update the status of a pet","314","TcC-0012 |PUT - Update Pet Status","","Tue Mar 11 15:22:09 GMT 2025","passed","Tue Mar 11 15:22:09 GMT 2025","","Pet Store API Tests","PetStoreApiTest","updatePetStatus"
"Retrieve a pet by its ID","308","TC-0011 | GET - Get Pet By ID","","Tue Mar 11 15:22:09 GMT 2025","passed","Tue Mar 11 15:22:09 GMT 2025","","Pet Store API Tests","PetStoreApiTest","getPetById"
"","27754","TC-0007 | Verify sorting options by Name (Z to A)","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:27 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameZToA"
"","26880","TC-0003 | Verify locked-out user","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:26 GMT 2025","","Login Tests","LoginTests","verifyLockedOutUser"
"","27935","TC-0006 | Verify sorting options by Name (A to Z)","","Tue Mar 11 15:21:59 GMT 2025","passed","Tue Mar 11 15:22:27 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameAToZ"
