"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Retrieve a pet by its ID","153","TC-0011 | GET - Get Pet By ID","","Tue Mar 11 15:41:48 GMT 2025","failed","Tue Mar 11 15:41:48 GMT 2025","","Pet Store API Tests","PetStoreApiTest","getPetById"
"Update the status of a pet","162","TcC-0012 |PUT - Update Pet Status","","Tue Mar 11 15:41:48 GMT 2025","passed","Tue Mar 11 15:41:48 GMT 2025","","Pet Store API Tests","PetStoreApiTest","updatePetStatus"
"","29248","TC-0004 | Verify sorting options by Price (low to high)","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:10 GMT 2025","","Inventory Tests","InventoryTests","verifySortingLowToHigh"
"","31061","TC-0014 | Verify that specific products are present in the cart","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:12 GMT 2025","","Cart Tests","CartTests","verifySpecificProductsInCart"
"","28595","TC-0001 | Verify login","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:10 GMT 2025","","Login Tests","LoginTests","verifyLogin"
"","29251","TC-0006 | Verify sorting options by Name (A to Z)","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:10 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameAToZ"
"Create a pet and retrieve its ID","3654","TC-0009 | API -POST - Create Pet","","Tue Mar 11 15:41:44 GMT 2025","passed","Tue Mar 11 15:41:47 GMT 2025","","Pet Store API Tests","PetStoreApiTest","createPet"
"","30996","TC-0008 | Verify checkout overview with three products","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:12 GMT 2025","","Checkout Tests","CheckoutTests","verifyCheckoutOverview"
"","28412","TC-0003 | Verify locked-out user","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:09 GMT 2025","","Login Tests","LoginTests","verifyLockedOutUser"
"Find all available pets","413","TC-0010 | GET - Find Available Pets","","Tue Mar 11 15:41:48 GMT 2025","passed","Tue Mar 11 15:41:48 GMT 2025","","Pet Store API Tests","PetStoreApiTest","findAvailablePets"
"","29278","TC-0007 | Verify sorting options by Name (Z to A)","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:10 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameZToA"
"","28413","TC-0002 | Verify invalid login","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:09 GMT 2025","","Login Tests","LoginTests","verifyInvalidLogin"
"Delete a pet by its ID","108","TC-0013 | DELETE - Remove Pet","","Tue Mar 11 15:41:48 GMT 2025","passed","Tue Mar 11 15:41:48 GMT 2025","","Pet Store API Tests","PetStoreApiTest","deletePet"
"","29398","TC-0005 | Verify sorting options by Price (high to low)","","Tue Mar 11 15:41:41 GMT 2025","passed","Tue Mar 11 15:42:10 GMT 2025","","Inventory Tests","InventoryTests","verifySortingHighToLow"
